borough,neighborhood,building_class_category,tax_class_at_present,block,lot,easement,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030.0,66.0,,A1,4453 PARK AVENUE,,10457.0,1.0,0.0,1.0,1646.0,1497.0,1899.0,1.0,A1,215000.0,2023-04-18
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030.0,66.0,,A1,4453 PARK AVENUE,,10457.0,1.0,0.0,1.0,1646.0,1497.0,1899.0,1.0,A1,570000.0,2023-08-23
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3035.0,52.0,,A1,461 EAST 178 STREET,,10457.0,1.0,0.0,1.0,1782.0,1548.0,1899.0,1.0,A1,0.0,2023-04-14
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3053.0,86.0,,S0,2364 WASHINGTON AVENUE,,10458.0,1.0,2.0,3.0,1911.0,4080.0,1931.0,1.0,S0,0.0,2023-10-24
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,2904.0,22.0,,B9,454 EAST 172 STREET,,10457.0,2.0,0.0,2.0,1658.0,1428.0,1901.0,1.0,B9,350000.0,2023-06-26
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,2904.0,22.0,,B9,454 EAST 172ND STREET,,10457.0,2.0,0.0,2.0,1658.0,1428.0,1901.0,1.0,B9,310000.0,2023-08-14
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912.0,144.0,,B1,3813 3 AVENUE,,10457.0,2.0,0.0,2.0,2000.0,2400.0,1993.0,1.0,B1,763000.0,2023-09-07
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912.0,151.0,,B1,519 EAST 171 STREET,,10457.0,2.0,0.0,2.0,2000.0,2400.0,1993.0,1.0,B1,750000.0,2023-05-18
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,2927.0,125.0,,B1,1477 CROTONA PLACE,,10456.0,2.0,0.0,2.0,1900.0,2394.0,1994.0,1.0,B1,820000.0,2023-11-17
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,2929.0,114.0,,B1,3854 3 AVENUE,,10457.0,2.0,0.0,2.0,2883.0,2394.0,1995.0,1.0,B1,815000.0,2023-06-07
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3035.0,139.0,,B1,1985 WASHINGTON AVENUE,,10457.0,2.0,0.0,2.0,2910.0,2340.0,1998.0,1.0,B1,750000.0,2023-07-14
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3036.0,63.0,,B1,457 EAST 179TH STREET,,10457.0,2.0,0.0,2.0,2000.0,2340.0,1998.0,1.0,B1,0.0,2023-03-22
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3039.0,106.0,,B1,442 EAST 185 STREET,,10458.0,2.0,0.0,2.0,1500.0,2400.0,1997.0,1.0,B1,698700.0,2023-07-28
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3040.0,15.0,,B2,462 E 187TH ST,,10458.0,2.0,0.0,2.0,1642.0,1820.0,1910.0,1.0,B2,0.0,2023-06-07
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3045.0,16.0,,B3,2060 BATHGATE AVENUE,,10457.0,2.0,0.0,2.0,1429.0,1872.0,1910.0,1.0,B3,650000.0,2023-06-02
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3045.0,17.0,,B2,2064 BATHGATE AVENUE,,10457.0,2.0,0.0,2.0,3493.0,2508.0,1910.0,1.0,B2,693500.0,2023-08-17
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3046.0,52.0,,B3,2047 BATHGATE AVENUE,,10457.0,2.0,0.0,2.0,2329.0,1431.0,1901.0,1.0,B3,57000.0,2023-10-26
2.0,BATHGATE,03 THREE FAMILY DWELLINGS,1,3031.0,145.0,,C0,412 EAST 187,,10458.0,3.0,0.0,3.0,1784.0,2302.0,2004.0,1.0,C0,900000.0,2023-10-26
2.0,BATHGATE,03 THREE FAMILY DWELLINGS,1,3041.0,6.0,,C0,4686 PARK AVENUE,,10458.0,3.0,0.0,3.0,1404.0,3900.0,2004.0,1.0,C0,0.0,2023-07-03
2.0,BATHGATE,03 THREE FAMILY DWELLINGS,1,3041.0,6.0,,C0,4686 PARK AVENUE,,10458.0,3.0,0.0,3.0,1404.0,3900.0,2004.0,1.0,C0,0.0,2023-11-30
