borough,neighborhood,building_class_category,tax_class_at_present,block,lot,easement,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5391.0,40.0,,A1,551 OAKDALE STREET,,10312.0,1.0,0.0,1.0,10000.0,3904.0,1980.0,1.0,A1,0.0,2023-08-02
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5396.0,41.0,,A1,21 TALLMAN STREET,,10312.0,1.0,0.0,1.0,9968.0,3940.0,1990.0,1.0,A1,1275000.0,2023-03-17
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5398.0,20.0,,A1,1468 ARDEN AVENUE,,10312.0,1.0,0.0,1.0,5000.0,2200.0,1940.0,1.0,A1,1050000.0,2023-06-06
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5401.0,42.0,,A2,265 HAROLD AVENUE,,10312.0,1.0,0.0,1.0,8190.0,2100.0,1980.0,1.0,A2,385000.0,2023-02-16
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5403.0,4.0,,A2,260 SHIRLEY AVENUE,,10312.0,1.0,0.0,1.0,7500.0,1600.0,1970.0,1.0,A2,0.0,2023-07-18
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5404.0,35.0,,A2,95 LENZIE STREET,,10312.0,1.0,0.0,1.0,7500.0,1328.0,1930.0,1.0,A2,743000.0,2023-07-10
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5406.0,21.0,,A1,1660 ARDEN AVENUE,,10312.0,1.0,0.0,1.0,5000.0,1680.0,1960.0,1.0,A1,640000.0,2023-04-10
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5425.0,29.0,,A1,1740 ARDEN AVENUE,,10312.0,1.0,0.0,1.0,4250.0,1052.0,1925.0,1.0,A1,440000.0,2023-06-20
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5425.0,42.0,,A1,27 SANDGAP STREET,,10312.0,1.0,0.0,1.0,5000.0,1950.0,1910.0,1.0,A1,840000.0,2023-05-01
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5426.0,15.0,,A2,16 SANDGAP STREET,,10312.0,1.0,0.0,1.0,2500.0,632.0,1952.0,1.0,A2,258400.0,2023-12-28
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205.0,109.0,,A5,56 MAY PLACE,,10312.0,1.0,0.0,1.0,2475.0,2395.0,1986.0,1.0,A5,730000.0,2023-09-11
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205.0,115.0,,A5,44 MAY PLACE,,10312.0,1.0,0.0,1.0,2475.0,2495.0,1986.0,1.0,A5,750000.0,2023-06-07
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205.0,145.0,,A5,60 SEGUINE PLACE,,10312.0,1.0,0.0,1.0,1471.0,1172.0,1986.0,1.0,A5,0.0,2023-10-05
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211.0,1.0,,A5,39 EAGAN AVENUE,,10312.0,1.0,0.0,1.0,2600.0,1825.0,1986.0,1.0,A5,0.0,2023-12-26
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211.0,34.0,,A5,100 SEGUINE PLACE,,10312.0,1.0,0.0,1.0,1550.0,1521.0,1986.0,1.0,A5,15000.0,2023-02-13
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212.0,32.0,,A5,18 LUCY LOOP,,10312.0,1.0,0.0,1.0,2320.0,1500.0,2000.0,1.0,A5,0.0,2023-04-12
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212.0,172.0,,A1,73 JEANETTE AVENUE,,10312.0,1.0,0.0,1.0,4500.0,1908.0,1965.0,1.0,A1,860000.0,2023-12-15
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212.0,172.0,,A1,73 JEANNETTE AVENUE,,10312.0,1.0,0.0,1.0,4500.0,1908.0,1965.0,1.0,A1,600000.0,2023-07-12
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6219.0,16.0,,A5,94 LORRAIN AVE,,10312.0,1.0,0.0,1.0,1650.0,1700.0,2004.0,1.0,A5,300000.0,2023-07-14
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6220.0,30.0,,A5,18 LORRAINE AVENUE,,10312.0,1.0,0.0,1.0,16541.0,1344.0,2002.0,1.0,A5,700000.0,2023-03-07
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6222.0,38.0,,A5,45 LORRAINE AVENUE,,10312.0,1.0,0.0,1.0,2400.0,1500.0,2004.0,1.0,A5,670000.0,2023-03-27
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6227.0,59.0,,A1,920 CARLTON BOULEVARD,,10312.0,1.0,0.0,1.0,4000.0,1272.0,1930.0,1.0,A1,720000.0,2023-01-05
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6228.0,25.0,,A0,158 EDGEGROVE AVENUE,,10312.0,1.0,0.0,1.0,4000.0,938.0,1950.0,1.0,A0,0.0,2023-04-12
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6228.0,27.0,,A1,154 EDGEGROVE AVENUE,,10312.0,1.0,0.0,1.0,8000.0,1915.0,1935.0,1.0,A1,0.0,2023-04-12
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6228.0,61.0,,A2,147 DETROIT AVENUE,,10312.0,1.0,0.0,1.0,8000.0,840.0,1920.0,1.0,A2,0.0,2023-04-12
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6230.0,33.0,,A2,634 DRUMGOOLE ROAD EAST,,10312.0,1.0,0.0,1.0,8000.0,1056.0,1930.0,1.0,A2,450000.0,2023-06-28
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6230.0,35.0,,A1,630 DRUMGOOLE ROAD EAST,,10312.0,1.0,0.0,1.0,8000.0,2460.0,1960.0,1.0,A1,0.0,2023-10-11
