borough,neighborhood,building_class_category,tax_class_at_present,block,lot,easement,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date
4.0,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949.0,34.0,,A5,19-48 81ST STREET,,11370.0,1.0,0.0,1.0,1799.0,1224.0,1945.0,1.0,A5,864195.0,2022-07-15
4.0,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949.0,37.0,,A5,19-54 81ST STREET,,11370.0,1.0,0.0,1.0,1799.0,1224.0,1945.0,1.0,A5,815000.0,2022-06-24
4.0,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976.0,55.0,,A5,21-33 80TH STREET,,11370.0,1.0,0.0,1.0,1799.0,1224.0,1950.0,1.0,A5,830000.0,2022-09-23
4.0,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976.0,60.0,,A5,21-23 80TH STREET,,11370.0,1.0,0.0,1.0,1800.0,1224.0,1950.0,1.0,A5,900000.0,2022-02-08
4.0,AIRPORT LA GUARDIA,03 THREE FAMILY DWELLINGS,1,949.0,56.0,,C0,19-69 80TH STREET,,11370.0,3.0,0.0,3.0,2000.0,2835.0,1945.0,1.0,C0,0.0,2022-03-08
4.0,AIRPORT LA GUARDIA,03 THREE FAMILY DWELLINGS,1,949.0,56.0,,C0,19-69 80TH STREET,,11370.0,3.0,0.0,3.0,2000.0,2835.0,1945.0,1.0,C0,0.0,2022-04-12
4.0,AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS,2,949.0,1017.0,,R2,"19-17 80TH STREET, 1",1,11370.0,1.0,,1.0,,,,2.0,R2,335000.0,2022-11-09
4.0,AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS,2,949.0,1022.0,,R2,"19-13 80TH STREET, 2",2,11370.0,1.0,,1.0,,,,2.0,R2,630000.0,2022-07-26
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,15830.0,5.0,,A6,40-10 ROCKAWAY BEACH BLVD,,11691.0,1.0,0.0,1.0,1594.0,482.0,1920.0,1.0,A6,195000.0,2022-02-03
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,15830.0,8.0,,A5,4016 ROCKAWAY BEACH BOULEVARD,,11691.0,1.0,0.0,1.0,3231.0,1520.0,2005.0,1.0,A5,585000.0,2022-07-27
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,15830.0,48.0,,A5,335 BEACH 40 STREET,,11691.0,1.0,0.0,1.0,2245.0,1350.0,2005.0,1.0,A5,0.0,2022-07-01
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,15833.0,47.0,,A5,341 BEACH 42ND STREET,,11691.0,1.0,0.0,1.0,2850.0,1332.0,2006.0,1.0,A5,549999.0,2022-09-23
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,15834.0,57.0,,A5,329 BEACH 43RD,,11691.0,1.0,0.0,1.0,2228.0,1476.0,2006.0,1.0,A5,315000.0,2022-04-15
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,15834.0,57.0,,A5,329 BEACH 43RD ST,,11691.0,1.0,0.0,1.0,2228.0,1476.0,2006.0,1.0,A5,600000.0,2022-11-07
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,15835.0,63.0,,A2,337 BEACH 44TH STREET,,11691.0,1.0,0.0,1.0,3431.0,2268.0,1920.0,1.0,A2,0.0,2022-05-25
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,15837.0,27.0,,A2,354 BEACH 46 STREET,,11691.0,1.0,0.0,1.0,3804.0,2304.0,1925.0,1.0,A2,190000.0,2022-08-19
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,15837.0,56.0,,A1,335 BEACH 45TH STREET,,11691.0,1.0,0.0,1.0,2470.0,1048.0,1925.0,1.0,A1,505000.0,2022-03-11
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,15839.0,64.0,,A2,311 BEACH 47 STREET,,11691.0,1.0,0.0,1.0,2853.0,2080.0,1920.0,1.0,A2,0.0,2022-08-24
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,15849.0,22.0,,A6,40-01 ROCKAWAY BEACH BLVD,,11691.0,1.0,0.0,1.0,2626.0,618.0,1920.0,1.0,A6,542000.0,2022-03-01
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,15850.0,30.0,,A6,206 BEACH 42 STREET,,11691.0,1.0,0.0,1.0,2000.0,560.0,1920.0,1.0,A6,375000.0,2022-09-23
