borough,neighborhood,building_class_category,tax_class_at_present,block,lot,easement,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,2905.0,26.0,,A9,1667 WASHINGTON AVENUE,,10457.0,1.0,0.0,1.0,4750.0,3167.0,1899.0,1.0,A9,980000.0,2022-09-08
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3028.0,24.0,,A1,410 EAST 179TH STREET,,10457.0,1.0,0.0,1.0,1842.0,2048.0,1901.0,1.0,A1,655000.0,2022-11-01
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030.0,65.0,,A1,4455 PARK AVENUE,,10457.0,1.0,0.0,1.0,1622.0,1587.0,1899.0,1.0,A1,520000.0,2022-10-26
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3037.0,101.0,,S0,443 EAST 180 STREET,,10457.0,1.0,2.0,3.0,1293.0,2820.0,1952.0,1.0,S0,720000.0,2022-02-23
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3039.0,29.0,,A5,2327 WASHINGTON AVE,,10458.0,1.0,0.0,1.0,1095.0,1260.0,1910.0,1.0,A5,499999.0,2022-04-28
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3039.0,63.0,,A1,469 EAST 185 STREET,,10458.0,1.0,0.0,1.0,1650.0,1296.0,1910.0,1.0,A1,599000.0,2022-05-17
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3046.0,38.0,,A1,2077 BATHGATE AVENUE,,10457.0,1.0,0.0,1.0,2306.0,1622.0,1899.0,1.0,A1,540000.0,2022-04-19
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3050.0,80.0,,A1,2257 BATHGATE AVENUE,,10457.0,1.0,0.0,1.0,2295.0,1354.0,1901.0,1.0,A1,0.0,2022-08-24
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3050.0,80.0,,A1,2257 BATHGATE AVENUE,,10457.0,1.0,0.0,1.0,2295.0,1354.0,1901.0,1.0,A1,600000.0,2022-04-28
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3053.0,102.0,,A1,2329 BASSFORD AVENUE,,10458.0,1.0,0.0,1.0,918.0,1248.0,1901.0,1.0,A1,17062000.0,2022-08-23
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3053.0,105.0,,A1,2323 BASSFORD AVENUE,,10458.0,1.0,0.0,1.0,921.0,1248.0,1901.0,1.0,A1,550000.0,2022-09-07
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3053.0,108.0,,A9,2317 BASSFORD AVENUE,,10458.0,1.0,0.0,1.0,925.0,1188.0,1901.0,1.0,A9,564000.0,2022-04-06
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912.0,118.0,,B1,1540 WASHINGTON AVENUE,,10457.0,2.0,0.0,2.0,2000.0,2400.0,1993.0,1.0,B1,740000.0,2022-12-14
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912.0,119.0,,B1,1542 WASHINGTON AVENUE,,10457.0,2.0,0.0,2.0,2000.0,2400.0,1993.0,1.0,B1,0.0,2022-02-01
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912.0,132.0,,B1,486 CLAREMONT PARKWAY,,10457.0,2.0,0.0,2.0,2000.0,2400.0,1993.0,1.0,B1,0.0,2022-04-13
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912.0,135.0,,B1,492 CLAREMONT PARKWAY,,10457.0,2.0,0.0,2.0,2000.0,2400.0,1993.0,1.0,B1,0.0,2022-08-01
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912.0,140.0,,B1,3821 3RD AVENUE,,10457.0,2.0,0.0,2.0,2000.0,2400.0,1993.0,1.0,B1,680000.0,2022-05-31
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912.0,145.0,,B1,3811 3 AVENUE,,10457.0,2.0,0.0,2.0,2000.0,2400.0,1993.0,1.0,B1,0.0,2022-02-11
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,2917.0,14.0,,B1,1846 WASHINGTON AVENUE,,10457.0,2.0,0.0,2.0,2943.0,2076.0,1920.0,1.0,B1,0.0,2022-04-06
