borough,neighborhood,building_class_category,tax_class_at_present,block,lot,easement,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6360.0,56.0,,A5,30 BAY 10,,11228.0,1.0,0.0,1.0,1546.0,1428.0,1930.0,1.0,A5,75000.0,2022-06-01
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6360.0,157.0,,A5,36 BAY 10TH STREET,,11228.0,1.0,0.0,1.0,1547.0,1428.0,1930.0,1.0,A5,0.0,2022-03-18
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6363.0,22.0,,A9,8645 16TH AVENUE,,11214.0,1.0,0.0,1.0,2058.0,1492.0,1930.0,1.0,A9,875000.0,2022-01-07
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6363.0,48.0,,A9,12 BAY 13TH ST,,11214.0,1.0,0.0,1.0,3142.0,3200.0,1999.0,1.0,A9,0.0,2022-03-14
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6363.0,62.0,,A9,44 BAY 13TH STREET,,11214.0,1.0,0.0,1.0,3575.0,2104.0,1901.0,1.0,A9,990000.0,2022-10-18
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6372.0,34.0,,A9,8637 19TH AVENUE,,11214.0,1.0,0.0,1.0,2417.0,2154.0,1930.0,1.0,A9,0.0,2022-09-20
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6373.0,73.0,,A1,50 BAY 23RD STREET,,11214.0,1.0,0.0,1.0,2417.0,1672.0,1930.0,1.0,A1,0.0,2022-08-18
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6373.0,85.0,,A1,84 BAY 23RD STREET,,11214.0,1.0,0.0,1.0,5737.0,2514.0,1935.0,1.0,A1,0.0,2022-07-01
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6373.0,85.0,,A1,84 BAY 23RD STREET,,11214.0,1.0,0.0,1.0,5738.0,2514.0,1935.0,1.0,A1,0.0,2022-04-19
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6379.0,42.0,,S1,2142 86TH STREET,,11214.0,1.0,1.0,2.0,1600.0,2640.0,1925.0,1.0,S1,2430000.0,2022-07-27
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6398.0,39.0,,A1,1638 BENSON AVENUE,,11214.0,1.0,0.0,1.0,3625.0,1825.0,1925.0,1.0,A1,1290000.0,2022-01-13
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6399.0,8.0,,S1,1653 BATH AVENUE,,11214.0,1.0,1.0,2.0,1260.0,1440.0,1930.0,1.0,S1,800000.0,2022-03-31
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6399.0,107.0,,S1,1655 BATH AVENUE,,11214.0,1.0,1.0,2.0,1260.0,1440.0,1930.0,1.0,S1,0.0,2022-02-02
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6402.0,31.0,,A1,72 RUTHERFORD PLACE,,11214.0,1.0,0.0,1.0,2743.0,2756.0,1924.0,1.0,A1,0.0,2022-03-24
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6405.0,148.0,,S1,1865 BATH AVENUE,,11214.0,1.0,1.0,2.0,1124.0,1800.0,1920.0,1.0,S1,955000.0,2022-10-28
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6428.0,55.0,,A1,202 BAY 11TH STREET,,11228.0,1.0,0.0,1.0,1933.0,1515.0,1920.0,1.0,A1,830000.0,2022-02-09
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6429.0,10.0,,A5,235 BAY 11TH STREET,,11228.0,1.0,0.0,1.0,1800.0,1296.0,1935.0,1.0,A5,830000.0,2022-03-30
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6429.0,57.0,,A5,8806 16TH AVENUE,,11214.0,1.0,0.0,1.0,1655.0,1156.0,1951.0,1.0,A5,900000.0,2022-05-27
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6442.0,32.0,,S1,2014 BATH AVENUE,,11214.0,1.0,1.0,2.0,1245.0,1596.0,1925.0,1.0,S1,0.0,2022-07-25
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460.0,16.0,,A3,8913 15TH AVENUE,,11228.0,1.0,0.0,1.0,3866.0,5330.0,1935.0,1.0,A3,10.0,2022-07-27
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460.0,64.0,,A5,294 BAY 10TH STREET,,11228.0,1.0,0.0,1.0,1933.0,1152.0,1920.0,1.0,A5,1099000.0,2022-10-27
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461.0,83.0,,A5,303 BAY 14TH STREET,,11214.0,1.0,0.0,1.0,1511.0,928.0,1950.0,1.0,A5,0.0,2022-04-08
